name,id,url,review_count,rating,price,phone,Address,Address_2,City,Zip_Code
Biga Pizza,Ak6Od-ojLVXr2Z2R63DeNg,https://www.yelp.com/biz/biga-pizza-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,465,4.5,$$,+14067282579,241 W Main St,,Missoula,59802
FINN,30AyUAhz3fUSpBUUdr7T4g,https://www.yelp.com/biz/finn-missoula-6?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,41,4.0,$$,+14065424660,100 Madison St,,Missoula,59802
Koh Chang Thai,eMBZMcDajYA7OO5Siibwqw,https://www.yelp.com/biz/koh-chang-thai-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,65,4.0,$$,+14068303451,3075 N Reserve St,Ste k,Missoula,59808
Pangea Bar,UD2sUv421vG_0vlG7pNCRQ,https://www.yelp.com/biz/pangea-bar-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,54,4.0,,+14064931190,223 N Higgins,,Missoula,59802
The Trough,fqIYC7BIVIeZahiDpdZhZg,https://www.yelp.com/biz/the-trough-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,66,4.5,$$,+14067213322,2106 Clements Rd,,Missoula,59804
Stave & Hoop,fK8SaNpUdXIooZ_fGkf72Q,https://www.yelp.com/biz/stave-and-hoop-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,11,4.0,,+14064930282,223 N Higgins,,Missoula,59802
Soup Farm,ZnbJwoT5Q_MTzrNxFeiIfQ,https://www.yelp.com/biz/soup-farm-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,16,5.0,,,901 N Orange St,,Missoula,59802
Conflux Brewing Company,ZZarkmmTinyUMzfeKcsYCA,https://www.yelp.com/biz/conflux-brewing-company-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,139,4.0,$$,+14069263589,210 N Pattee St,,Missoula,59802
Pho Vi,6hr69BWsDOpDYluEnsEufQ,https://www.yelp.com/biz/pho-vi-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,11,4.0,,+14065490069,2101 Brooks St,,Missoula,59801
1889,v6LfxlULYK7iZ92vYwX9ow,https://www.yelp.com/biz/1889-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,67,3.5,,+14065291263,104 N Higgins Ave,,Missoula,59802
Scotty's Table,3zkNlLVniphjGtiep8gH5Q,https://www.yelp.com/biz/scottys-table-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,130,4.0,$$$,+14065492790,131 S Higgins Ave,Unit P3,Missoula,59802
Ciao Mambo,r0BuqVxt8lnOviDUga4o8Q,https://www.yelp.com/biz/ciao-mambo-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,172,4.0,$$,+14065430377,541 S Higgins Ave,,Missoula,59801
Five on Black,q35NAyRouFu-JD5aYt6T2w,https://www.yelp.com/biz/five-on-black-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,370,4.5,$,+14069261860,325 N Higgins Ave,,Missoula,59802
Wally & Buck,V_YUD07N748UGYuh_olmzg,https://www.yelp.com/biz/wally-and-buck-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,53,4.5,,+14065498157,319 E Front St,,Missoula,59802
Depot Bar & Restaurant,3lWCWqcAnI1LGGZgx-aXgg,https://www.yelp.com/biz/depot-bar-and-restaurant-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,136,4.0,$$,+14067287007,201 Railroad St W,,Missoula,59802
Bayern Brewing,SRGyR5qWJmJkoh3DNGUqDQ,https://www.yelp.com/biz/bayern-brewing-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,88,4.5,$$,+14067211482,1507 Montana St,,Missoula,59801
Michi Ramen Bar,pIcIbcRpYF7U-ujS2WXYog,https://www.yelp.com/biz/michi-ramen-bar-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,98,3.5,,+14069261186,137 W Front St,,Missoula,59802
Masala,-P6lw7D8gzt0of6JyYPYtg,https://www.yelp.com/biz/masala-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,96,4.0,$$,+14069266444,206 W Main St,,Missoula,59802
Cambie Taphouse + Coffee,QdXwp77UbdyRMrioEu-rtg,https://www.yelp.com/biz/cambie-taphouse-coffee-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,35,4.5,,+14063171268,2413 S Higgins Ave,,Missoula,59801
Tagliare Delicatessen,C-zmOzbCKj4P2juwI7DdXg,https://www.yelp.com/biz/tagliare-delicatessen-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,151,4.5,$$,+14068303049,1433 S Higgins Ave,,Missoula,59801
Burns St Bistro,eOei9DyKjYtyt9XwwLXHCw,https://www.yelp.com/biz/burns-st-bistro-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,174,4.5,$,+14065430719,1500 Burns St,,Missoula,59802
Highlander Beer,hdYNscKAIPYAnoP0PcSo5w,https://www.yelp.com/biz/highlander-beer-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,122,4.5,$,+14065498193,200 International Dr,,Missoula,59808
Basal,cdqr9D6uJ73fiTQbF2JaEA,https://www.yelp.com/biz/basal-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,42,4.5,$$,+14065404098,114 N Higgins Ave,,Missoula,59802
Dobi’s Teriyaki,3TQ6VtlE1VuN5wyTnFLRoQ,https://www.yelp.com/biz/dobi-s-teriyaki-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,40,4.5,,+14069261661,123 W Front St,,Missoula,59802
The Empanada Joint,CS6jGNfKKw9SBgeEvdZpPQ,https://www.yelp.com/biz/the-empanada-joint-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,59,4.5,$,+14069261120,123 E Main St,,Missoula,59802
Golden Yolk Griddle,qNuT0YFdh0SjwORAR6hz-g,https://www.yelp.com/biz/golden-yolk-griddle-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,6,4.0,,+14069261145,200 W Pine St,,Missoula,59802
James Bar,2I-mgQaOGctjFq1KvRyDww,https://www.yelp.com/biz/james-bar-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,138,4.0,$$,+14067218158,127 W Alder St,,Missoula,59802
Locals Only,tKFekQt0Sh9-aFTYhUFb1w,https://www.yelp.com/biz/locals-only-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,10,4.0,,+14065430646,149 W Broadway St,,Missoula,59802
Kobe Seafood & Steak,v9V4LPuK3g4LcbQ5DT6z_A,https://www.yelp.com/biz/kobe-seafood-and-steak-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,105,3.5,$$,+14065404480,3331 N Reserve St,,Missoula,59808
The Still Room,9ciJFzu_msNFKuiV9H1z_g,https://www.yelp.com/biz/the-still-room-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,18,3.5,,+14065435678,1609 W Broadway St,,Missoula,59808
The Thomas Meagher Bar,IQwS_6ua_WPt1Y9ZaZkh6g,https://www.yelp.com/biz/the-thomas-meagher-bar-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,111,4.0,$$,+14065404402,130 W Pine,,Missoula,59801
The Montana Club Restaurant,FRqFv7waQU_EARK3LFu0oA,https://www.yelp.com/biz/the-montana-club-restaurant-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,236,3.5,$$,+14065418141,4561 N Reserve St,,Missoula,59808
The Keep Restaurant,VzAzlKXb8M7gEcCqTcrdaA,https://www.yelp.com/biz/the-keep-restaurant-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,59,4.0,$$$,+14067285132,102 Ben Hogan Dr,,Missoula,59803
Iron Horse Bar & Grill,QH5In1UFaod1EYo69fyUlw,https://www.yelp.com/biz/iron-horse-bar-and-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,257,3.5,$$,+14067288866,501 N Higgins Ave,,Missoula,59802
Headies Brick Oven Pizza of Montana,ylu_4Mc_dF-JhILlQW_6KQ,https://www.yelp.com/biz/headies-brick-oven-pizza-of-montana-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,18,4.5,,+14065404431,1250 W Broadway St,,Missoula,59802
Double Front Cafe,sbc4i3HciexKwxWnLHly-w,https://www.yelp.com/biz/double-front-cafe-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,109,4.0,$$,+14065436264,122 W Alder St,,Missoula,59802
Dinosaur Cafe,2VIYdgXBzDbysF1Ecdthsw,https://www.yelp.com/biz/dinosaur-cafe-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,57,4.0,$,+14067213808,428 N Higgins Ave,,Missoula,59802
Missoula Club,UIsYaSrxGWEHqk4cE0jCRA,https://www.yelp.com/biz/missoula-club-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,73,4.5,$,+14067283740,139 W Main St,,Missoula,59802
Veera Donuts,ysG15miz0pq1s930gviFcA,https://www.yelp.com/biz/veera-donuts-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,80,4.5,,+14063171109,617 S Higgins,Ste 2,Missoula,59801
Old Chicago,iwfSGIPR_uXpVu2xLXXX7A,https://www.yelp.com/biz/old-chicago-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,78,3.5,,+14069261155,3630 N Reserve,,Missoula,59808
Pie Hole,hZXkeGSA_VF8zTn1VdwHnQ,https://www.yelp.com/biz/pie-hole-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,96,4.0,$,+14069262233,525 N Higgins Ave,,Missoula,59802
The Old Post,0aUZL9Qmzd1DOmRjhUF9oQ,https://www.yelp.com/biz/the-old-post-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,8,3.5,,+14065404433,103 W Spruce,,Missoula,59802
Mexican Moose,KXJVD42Teh8QlaolZNxJ0w,https://www.yelp.com/biz/mexican-moose-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,1,4.0,,+14068806780,3010 S Reserve St,,Missoula,59801
Iron Griz American Bistro,vmLfkNLwMPQ-0iXJ4QlDMQ,https://www.yelp.com/biz/iron-griz-american-bistro-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,27,4.0,$,+14067285106,515 South Ave E,,Missoula,59801
Saketome,CjN7-GmfNVQ7m0pkknQVHw,https://www.yelp.com/biz/saketome-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,64,3.5,$$$,+14069262555,137 W Front St,,Missoula,59802
Catalyst Cafe & Espresso,BRs7-Ekt7xtCnjLO6mhXSQ,https://www.yelp.com/biz/catalyst-cafe-and-espresso-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,274,4.5,$$,+14065421337,111 N Higgins Ave,,Missoula,59802
Taqueria Montana,I6SxQnHa7pI6Zu72lHBL8g,https://www.yelp.com/biz/taqueria-montana-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,29,4.0,,+14069261388,4055 Brooks St,Ste B,Missoula,59804
Firehouse Subs,XbQfCVCqqjP_8gVKtA6Ryg,https://www.yelp.com/biz/firehouse-subs-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,1,4.0,,+14063171698,2845 N Reserve St,,Missoula,59808
El Cazador,maIWtOQHXltyHAq1cTYItg,https://www.yelp.com/biz/el-cazador-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,168,3.5,$$,+14067283657,101 S Higgins Ave,,Missoula,59802
The Breakfast Club Missoula,p7tse3mLDLUjeCccIegLWQ,https://www.yelp.com/biz/the-breakfast-club-missoula-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,40,4.5,,+14069261240,1132 SW Higgins Ave,Ste 200,Missoula,59803
Front Street Pizza,Ftdkhg0NwHSmyM_59VBPyA,https://www.yelp.com/biz/front-street-pizza-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,17,4.5,,+14063034660,315 E Front St,,Missoula,59802
Sean Kelly's Stone of Accord,tKsuIj2h_TzOeoGI-vig9A,https://www.yelp.com/biz/sean-kellys-stone-of-accord-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,130,3.5,$$,+14068303210,4951 N Reserve St,,Missoula,59808
Greek Pastry Shop - #1 Gyros,g8OzY4DjU5ATlDKXKeoRvA,https://www.yelp.com/biz/greek-pastry-shop-1-gyros-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,167,4.5,$,+14065436843,520 S 5th St W,,Missoula,59801
Bridge Pizza,yjcW57R9ShgUrF1jAAIKJA,https://www.yelp.com/biz/bridge-pizza-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,166,4.0,$,+14065420002,600 S Higgins Ave,,Missoula,59801
Rattlesnake Market And Cafe,CGfy-lqbGU1DB71Ze3zf9w,https://www.yelp.com/biz/rattlesnake-market-and-cafe-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,23,4.5,$$,+14069263202,2501 Rattlesnake Dr,,Missoula,59802
Ambrosia,4n1rZS9B0XhT8RatJv8ffQ,https://www.yelp.com/biz/ambrosia-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,34,4.0,$,+14065427072,2230 N Reserve St,,Missoula,59808
River City Grill,pwD46mNcJZxtdaIZEZ7xRA,https://www.yelp.com/biz/river-city-grill-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,65,4.5,$$,+14062582758,7985 Hwy 200 E,,Missoula,59802
The Shack,M-syA2ReZQ4k_I50nkz_PA,https://www.yelp.com/biz/the-shack-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,149,3.5,$$,+14065499903,222 W Main St,,Missoula,59802
Ty Green Sushi Bar,BL01Xi83PLMMEXZMcjcScw,https://www.yelp.com/biz/ty-green-sushi-bar-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,6,3.0,$,+14067281116,2230 N Reserve St,,Missoula,59808
MacKenzie River Pizza Co.,kvRDTpoKHrxIT9Rn6W-jQw,https://www.yelp.com/biz/mackenzie-river-pizza-co-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,157,3.0,$$,+14067210099,5210 Grant Creek Rd,,Missoula,59808
Paul's Pancake Parlor,NCmEVbYJoRoKPsCB9McNDw,https://www.yelp.com/biz/pauls-pancake-parlor-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,237,4.0,$$,+14067289071,2305 Brooks St,,Missoula,59801
China Garden Restaurant,5ogMaDNq_sg5yXnsvKhAWw,https://www.yelp.com/biz/china-garden-restaurant-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,82,3.5,$$,+14067211795,2100 Stephens Ave,,Missoula,59801
Taco Sano on the Hip Strip,dwQdoGa2hjV9iUTVfzNedw,https://www.yelp.com/biz/taco-sano-on-the-hip-strip-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,74,3.5,$,+14065417570,115 1/2 St 4th W,,Missoula,59801
Sa Wad Dee,WKgIOms_E62-YlG4aWayjA,https://www.yelp.com/biz/sa-wad-dee-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,75,3.5,$$,+14065439966,221 W Broadway St,,Missoula,59802
El Diablo,qDlv5zvH6gd4Tyr9g7b9sw,https://www.yelp.com/biz/el-diablo-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,73,4.0,$,+14067289529,1429 S Higgins Ave,,Missoula,59801
The Notorious P.I.G.,rBp-dFH_J8PpUedv4zGtKg,https://www.yelp.com/biz/the-notorious-p-i-g-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,32,4.0,,+14069261461,3621 Old US 93,,Missoula,59804
Cambie Taphouse + Coffee Sawmill District,2YDRlqyiBSQJt6aZDVzdBw,https://www.yelp.com/biz/cambie-taphouse-coffee-sawmill-district-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,1,3.0,,,945 Wyoming St,,Missoula,59801
Green Source,1qfeRiL_Fbs7LL-o-ovtSg,https://www.yelp.com/biz/green-source-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,46,4.0,$,+14062395272,617 S Higgins Ave,Ste A,Missoula,59801
