,level_0,index,Unnamed: 0,author_name,author_url,language,profile_photo_url,rating,relative_time_description,text,time,sentiment
15,15,0,0,Emily Danger,https://www.google.com/maps/contrib/109090913092582984044/reviews,en,https://lh3.googleusercontent.com/a/AATXAJzXnqk-0ngXLmFhy1fzImWd5u58rBzo-zWqrc7I=s128-c0x00000000-cc-rp-mo,5,4 months ago,"Such a great sports bar!!!  Came tonight as tourists from NY & received such a warm welcome from the staff and locals.  Great beer & drink selection, lots of TVs, very nice staff willing to change channels and turn up stations.  Staff member even bought us a round!  Thank you for your hospitality, Reds!",1626229044,Good
16,16,1,1,John Cochrane,https://www.google.com/maps/contrib/104568463433451684255/reviews,en,https://lh3.googleusercontent.com/a/AATXAJxTkM4kjqO_EUikfI9EpQzdDxWa33cliltCzSSZ=s128-c0x00000000-cc-rp-mo-ba5,5,a month ago,Bar is old college hangout. Great atmosphere for any football game. Bar management is incredible.,1634565927,Good
17,17,2,2,RJ Barrett,https://www.google.com/maps/contrib/102879054171255428937/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GhzHEiI1Bcx-3bvbhEBn693mxofPdYoBtkqkKNL=s128-c0x00000000-cc-rp-mo,4,4 months ago,"I sleep in every once in awhile and peek in and say hi and go in there for years it's a great traditional sports bar I don't know, I like the atmosphere",1627773301,Good
18,18,3,3,Scott C,https://www.google.com/maps/contrib/113263641790385014505/reviews,en,https://lh3.googleusercontent.com/a/AATXAJx511TMfQrcl14necly8Sq0rshTpLXaCcYzWCwm=s128-c0x00000000-cc-rp-mo-ba3,5,a week ago,This bar is a must visit when in Missoula. It can be pretty crowded after Griz games...but isn't it supposed to be?,1637789484,Good
19,19,4,4,Thad Stinson,https://www.google.com/maps/contrib/100706199870145129757/reviews,en,https://lh3.googleusercontent.com/a/AATXAJxVsPne3lp1cbTkM8_vQ6QPpI0NR6iDYV0Ekdww=s128-c0x00000000-cc-rp-mo,5,3 months ago,"Belt, USA loves Red's! Thanks Mike!",1630942467,Good
20,20,0,0,Daria O'Brien,https://www.google.com/maps/contrib/115618339979767756047/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gi-UQpZPq5wzyyx62mK32Ct20HvjJ3yvFau_3QlqXE=s128-c0x00000000-cc-rp-mo,5,2 months ago,"My husband and I had a very nice meal with excellent service from Mackenzie at Scotty’s Table. We started with a tasty appetizer of bruschetta with salmon spread topped with thinly sliced red onion. My entree was chicken souvlaki served over hummus with a Greek salad. The chicken was perfectly grilled, juicy and excellent quality. My husband enjoyed his cioppino, and commented on the buttery mussels and yummy sauce. Both were paired with nice wine suggestions by Mackenzie. Highly recommend a meal at Scotty’s Table!",1631557385,Good
21,21,1,1,Joe Alonso,https://www.google.com/maps/contrib/117718810822255395603/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GinY9wzqx_qKOAgtVF0BuwDLgHccL4tltP7auRe=s128-c0x00000000-cc-rp-mo-ba3,3,in the last week,"I'll give it three stars because the service was excellent and ambiance was relaxing and enjoyable. The food, however,  had some problems. We were a table of five and there was a problem with four of the five meals. The grits were too salty,  brisket one piece was too dry and unbeatable and steak too tough. The waitress was kind enough to refund the brisket because my friend complained about it. I love this place and hope to try it again, when I'm back in town. Hopefully it was a one time deal.",1638219280,Bad
22,22,2,2,Kenna Joseph,https://www.google.com/maps/contrib/114978807003407398910/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GghbRWRhNY8EE2XOjMe7Tm_wvzZ-Dbm5A1Wizzm=s128-c0x00000000-cc-rp-mo,1,2 months ago,"My husband and I dined here for the 1st time yesterday evening. We waited for a table for about 5 minutes and the hostess was so confused as to where she was gonna sit us, even though there were about 15 open table's, so that was awkward?  Once we did get sat, no one came over to greet us or offer drinks for at least 10 minutes. My husband ordered a pork chop I ordered the beef duo, both of these entrees require a steak knife. However, we did not get a steak knife nor did our server come over and ask how things were so we could ask him for 1. Have you ever tried to cut a steak, that was not tender and laced with fat or a pork chop with a butter knife, it was absolutely unbelievable. And because of this we will never be coming back to this restaurant that's supposed to be fine dining, I felt like I was at McDonald's.",1632830797,Bad
23,23,3,3,Cassandra Suddath,https://www.google.com/maps/contrib/114841761376392877592/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GgbmFVAGJ1oFubDzICrCUbfXDU6pyh4iGHf757C-k4=s128-c0x00000000-cc-rp-mo,5,2 weeks ago,"My boyfriend and I have eaten brunch here many times and love it! We finally tried dinner to celebrate our anniversary and it was everything we could have asked for and more! Our lovely server, Mack was charming, knowledgeable and awesome and we had a great time. Wine was fabulous, food was amazing, especially the seafood cioppino and creme brûlée! We will definitely be back!",1637253449,Good
24,24,4,4,Joel Woznicki,https://www.google.com/maps/contrib/104334708150813090881/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GijnTBq6mcQr5kuhV0ypa0VhpxndYKKwt9z8Kye5A=s128-c0x00000000-cc-rp-mo,5,3 months ago,"Good wine, good steak, good scallops, and good service!

We order the fried brussel sprouts, the Caesar salad (without anchovies...), scallops, and a steak. We loved the salad! The scallops were excellent and the sauces were great (my wife loves sauces), and the steak was great as well!

We didn't notice the delay in getting our food since the atmosphere was perfect for a warm night!",1629736983,Good
25,25,0,0,Christine IsAQueen,https://www.google.com/maps/contrib/100156976029641936698/reviews,en,https://lh3.googleusercontent.com/a/AATXAJzN3RA9gtQxjKt-cS7mt9zIjwq6gyeTN9bQogTw=s128-c0x00000000-cc-rp-mo-ba3,5,2 weeks ago,"Always winning with a dish from here. SaWaDee brings it every time. Been going here for nearly 20 years, have yet to be let down. They are so nice, professional, and authentic: you know what they have, they are prompt, and best of all, they LOVE their customers like family. I send my daughter in Boston their Pad Thai sauce, its so good.",1637005635,Good
26,26,1,1,Peter Horton,https://www.google.com/maps/contrib/103426712401420609259/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GhP2_Nl5qWFjA9gWaAgXmXyJT2ZIFt3z2M3r0v5qA=s128-c0x00000000-cc-rp-mo-ba3,5,4 months ago,"In the late 90's when I went to UM this place was my first ever Thai food experience. I think I literally ate here at least twice a week. It's actually some of the best Thai food I've ever had, having lived in Denver, Tokyo and Seattle, so I always make an effort to eat here when I'm in town.

I was planning on visiting again in October but sadly just read that they will be closing.  If you're in Missoula you must try this place before it's gone.",1628184967,Good
27,27,2,2,Mountain Trails,https://www.google.com/maps/contrib/117362121037451964752/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GjPl4zFzqXvifQQdOgoi487vUwQImPDbG5-ImhP=s128-c0x00000000-cc-rp-mo,4,a month ago,"4 Stars because customer service was great. The guy that took my order was friendly, chipper, went out of his way to be nice. The pad thai: Left something to be desired. Not great, tasted like jarred pad thai sauce. Will give another chance because of the great customer service.",1634685836,Good
28,28,3,3,Josh Thompson,https://www.google.com/maps/contrib/114316528298748831440/reviews,en,https://lh3.googleusercontent.com/a/AATXAJzL9hLHJTTNWfgp1vefeqUX1fyaZ-hTOB3PBUal=s128-c0x00000000-cc-rp-mo,1,3 weeks ago,Visited on 08/02/21 at about 1:30pm and will NOT be returning specifically because of the cashier Bella who was extremely rude.,1636523650,Bad
29,29,4,4,anne farmer,https://www.google.com/maps/contrib/104897526083770737153/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GiIhruPuXH1sbrGXHLdJrqlpLhkUNasFPkcsY4W=s128-c0x00000000-cc-rp-mo,5,6 months ago,So delicious! Took the time to explain food and gave great recommendations. Excellent pricing as well!,1622948257,Good
30,30,0,0,Darin Stevens,https://www.google.com/maps/contrib/108622598699863834269/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GijEIN0RD1Vm9F_KqrWgTiqZV-6hqNg0VAL_tWjtQ=s128-c0x00000000-cc-rp-mo-ba4,5,in the last week,"Yep that was good! Had the sliced brisket platter. It's was delicious and tender. They have a good mix of sauces and they do serve Burnt Ends! (they were out when I came by) I lived in Kansas City for over 12 years and this Barbecue joint knows what they're doing.  Mix of regional styles on the barbecue and it all is great. Had the baked beans as a side and they were great also.

Great service and neat small hole in the wall restaurant atmosphere.

Will definitely be in when I buzz through town.",1638582669,Good
31,31,1,1,Carson Seeger,https://www.google.com/maps/contrib/115553249755732829877/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gjw5L-pLd0c9ZQJNK87P6fXgoRpTsllt24dWqd5dw=s128-c0x00000000-cc-rp-mo-ba3,5,in the last week,"The brisket is on point. Well-trimmed with good smoke rings. The sandwich is a great size. I tried their spicy bbq sauce , also great, could use more kick for my tastes though

Atmosphere is great and the staff is very friendly. Very quick with the food, I hadn’t even filled my drink and the sandwich was out.

Arrive early. They were out of pulled pork when I arrived at 230",1638567899,Good
32,32,2,2,Daniel Lam,https://www.google.com/maps/contrib/106779697301139402214/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gh5WrwEh6lwj4mJ3VMBXFL8g5FjtMcvuMZDiGN2Rw=s128-c0x00000000-cc-rp-mo-ba2,3,3 weeks ago,"Coming from out of town, saw many favourable reviews about this restaurant. Considering there were multiple locations, I had high expectations. Ordered pulled pork sandwich with a side of max and cheese. Pulled pork was very flavourful but unfortunately very dry. The restaurant was trialling a new barbecue sauce which was good. The sauce helped with the pulled pork but enough sauce to make the pork juicy would have been too salty. Mac and cheese was very creamy and tasted good. Unfortunately it was cold. Overall is decent but there is room to improve. Maybe other dishes would do the store’s reputation justice.",1636945314,Bad
33,33,3,3,Dolores Nelson,https://www.google.com/maps/contrib/106631823950459651945/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GiirMbyQ6sfOucl-3CTRE2IcRxqvaOtfoVXL9kk=s128-c0x00000000-cc-rp-mo-ba2,5,2 weeks ago,"I went here to try it out in the middle of the week and told myself that I would definitely be coming back! They have ribs that will rock your world, different sauces for every flavor that you’re looking for and don’t get me started on that mac&cheese! When I come back in town, I will definitely be coming back to this place.",1637572833,Good
34,34,4,4,Ken Wickman,https://www.google.com/maps/contrib/110333185733030468838/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GhwH0mdfGZArhE7gWW4i9aSHKXYDRAJ-ss7QR6JVw=s128-c0x00000000-cc-rp-mo-ba4,5,4 months ago,"My son made a comment tonight that sums this place up. There is nothing on the menu that isn't great. Throw a dart at the board and come away satisfied, wherever it hits.  Another bonus is the general mood of the employees. They are genuinely having fun, which makes this place even better.",1627605422,Good
35,35,0,0,Norma Arnold,https://www.google.com/maps/contrib/115015335883577435541/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GjfL181BIzaS3eTOIk2bNqUFM_VijihyvvHw1gcEXE=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,Good food. Friendly staff. Great drinks. They have a mushroom French dip that is amazing! I tried a few different drinks and my favorite was the Doc Holiday which is made with Huckleberry vodka. Give this place a shot. You won’t be sorry.,1633030858,Good
36,36,1,1,Christopher Johnson,https://www.google.com/maps/contrib/112461109203393920242/reviews,en,https://lh3.googleusercontent.com/a/AATXAJwzMmouDWNYRiH671ActEMrCgqjjlixvrv6dgte=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,"Their 300th review! I very much enjoyed the Thunder IPA and their cheeseburger with tater tots. I got a flight and cannot remember all that I ordered, but that Thunder IPA sure was memorable. Fantastic ambience, great location, and very affordable. Next time I visit Missoula I will definitely come here!",1635829512,Good
37,37,2,2,Lena Hirsch,https://www.google.com/maps/contrib/116919935475261709286/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GgUwW7wEeJ7GyXZtZ_SWhjhIdzaQ317SwEMWouPoQ=s128-c0x00000000-cc-rp-mo-ba3,5,a week ago,"I had a great time here. Nashville wings as appetizers tasted great, reminded me of living in Nashville and getting chicken with friends. Wonderful rubbed spice and the blue cheese dipping sauce was great with or without. A cauliflower option would be amazing!

Bison burger only comes cooked medium here, and that's okay. It was really good. Didn't feel greasy or overbearing. I love venison and bison, so I appreciate it done well in a burger.

Pulled pork was also just, super good. I only stole a couple bites from my boyfriend's plate... but... I really enjoyed the pulled pork. I believe it had a Carolina tangy sweetness that wasn't entirely like some of the Carolina BBQs I loved when I lived in NC, but still very good. I'd definitely come order it myself another time to fully experience.

I also had the flathead mule drink... Wasn't overly sweet or strong, just right for my date and with what I was eating. Pleasant when paired with all the spicy and savoury food.

The only thing I'd tweak is maybe breading the fries. They were otherwise just okay.

I had a lovely dinner all around and plan to come back to enjoy the lovely balcony area. 🥰",1638142751,Good
38,38,3,3,Daniel Kimerly,https://www.google.com/maps/contrib/112302472219709890007/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GipMmD9YXaYrdyuNIpBev7AwQEXiIyklVmZmvK-=s128-c0x00000000-cc-rp-mo-ba3,5,in the last week,"Great beer great and attentive staff, top notch food and there's always an open table. You can't go wrong if you choose to visit Conflux.",1638811299,Good
39,39,4,4,John Peterson,https://www.google.com/maps/contrib/112314582038348479404/reviews,en,https://lh3.googleusercontent.com/a/AATXAJyfLgKJGz76cwcdMQxzIuX8m3ozw7jMmo80oRub=s128-c0x00000000-cc-rp-mo,5,4 months ago,"Was part of party. Food and drinks were great. Our servers: Shannon, Gabby, and Paul, were attentive and on point. They were professional and personal. We had fun, enjoyed our meal, and walked away more than content. We didn’t want to leave. Highly recommended.",1628320203,Good
40,40,0,0,Everett Headley,https://www.google.com/maps/contrib/112918335795493758748/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gg7t6FNBFMRSABlPEpAGVglsN21XsN1UAEUW3F87A=s128-c0x00000000-cc-rp-mo-ba2,2,a month ago,"This was underwhelming.  The food was 3 stars, good but not something I need reservations for.  The atmosphere is modern, if that's your thing, cool.  We ordered some cocktails that were definitely not mixed properly, although I appreciate the 10 to 1 rum to mix recipe.  But what dropped 2 stars and almost to a 1 was when our server said there is 15 minutes left in happy hour, brought us that menu and then when she FINALLY returned to take our order, told us happy hour was over and we couldn't order from that menu anymore.  I almost walked out.
I did like the fundito.
I like trying new places, and I'm glad I did. I'll not have to wonder if I should go back.",1633790853,Bad
41,41,1,1,Natalie Cotela,https://www.google.com/maps/contrib/100915545587372293413/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Ghu2NdCQ0-wO9AYDzLyJIKZI9nPUuLExQN43nTNDrM=s128-c0x00000000-cc-rp-mo-ba3,5,3 weeks ago,Great street tacos and tortilla chips! Delicious guacamole that seemed like it was made as we ordered. Friendly and prompt service!,1636985872,Good
42,42,2,2,Bethany Platt,https://www.google.com/maps/contrib/105985210902839443973/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Ghx_T5qpKSQeqxz6a9Z3s7rCvS_LpMY5Gi9ufCL=s128-c0x00000000-cc-rp-mo-ba2,5,4 months ago,"I love tacos. We went out of our way to make sure we tried this restaurant, and let me tell you, these were the BEST tacos. Fresh, unique ingredients and incredible atmosphere. I wish I could go once a week. The drinks were perfectly done, and staff was wonderful. Would highly recommend!",1627513934,Good
43,43,3,3,Jaime Curtin,https://www.google.com/maps/contrib/112768192025064939372/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gigqpmc-8QDo_oJCir0oZ-duRYTHVylWAtXUc2bYw=s128-c0x00000000-cc-rp-mo,4,3 months ago,"This is a great place for margaritas! The chips and salsa are great, but I have noticed inconsistencies with the flavor of guac. It didn't taste as good as prior visits, which is tough with the price. I would still definitely recommend checking out their happy hour.",1630987315,Good
44,44,4,4,Scott Estes,https://www.google.com/maps/contrib/108824099023769919429/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Giqx95RkRoqnH-DHtsKdyso58EN8Se_yQ9nQk7Qmd0=s128-c0x00000000-cc-rp-mo-ba4,4,a month ago,Their tequila tasting choices could use some work but the food is REALLY good. And they partner/utilize local resources so that's pretty radical. Not Mexican owned but still good.,1634576924,Good
45,45,0,0,Kayla Noel,https://www.google.com/maps/contrib/118253601592958003063/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GjUD16q4CL0yZLsr_vewpcJolliPT19QUJ2PfXXaQ=s128-c0x00000000-cc-rp-mo,5,2 months ago,AMAZING!!! Great sushi! Great service! Our waitress Christina was perfect! She went through the menu with us and helped us pick sushi based on our personal preferences. Everyone was kind and there was not once that we felt ignored! One of the best restaurants I’ve been to in a long time! All the food was fresh and they do not skimp on portions! If you are super hungry once you arrive order appetizers since the sushi takes a little bit of time to prepare. Some other reviews about the food taking too long is ridiculous to me! GOOD FOOD TAKES TIME TO PREPARE! If you don’t have patience for a talented chef to prepare an amazing meal for you then go to McDonald’s and stop complaining! Thank you again Saketome and Christina for making us feel so welcomed!,1632419833,Good
46,46,1,1,Teliah Gienger,https://www.google.com/maps/contrib/117249797459541862293/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gh3I7_6KzsPzseUv1CHzRyKJ0nQKL77pPyM3OQrOQ=s128-c0x00000000-cc-rp-mo-ba3,5,a week ago,Happened upon this little hole in the wall and have honestly thought about our food there every week after. So good. Definitely going back! And they have a beautiful space!,1637726987,Good
47,47,2,2,Jazzy Savage,https://www.google.com/maps/contrib/116811557523689367205/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GhnCp5RBXZYUrzOP1ZB33_0hxJY0tZ5L3mhFXml=s128-c0x00000000-cc-rp-mo,5,4 months ago,"Honestly, the best sushi restaurant I’ve been to!!! I loved our waitress, and cooks. I wish I got their names. It was nice and quick to get into, the wait for our sushi was well worth it! A great place to go if you’re just looking for a place to sit with friends and family. Definitely coming back!!!!",1627881750,Good
48,48,3,3,Anne Hamilton,https://www.google.com/maps/contrib/106436842403422138355/reviews,en,https://lh3.googleusercontent.com/a/AATXAJyolc17YuK6Xo4-AzfDKEM2JRf8YR0Bz6R1Iatx=s128-c0x00000000-cc-rp-mo,4,3 months ago,"Food wonderful, really delicious sauces. However, music was too loud on top of people talking it was deafening.   I love the food but would think hard about going there again.  They need some sound mufflers.",1629770140,Good
49,49,4,4,Christian Mercado,https://www.google.com/maps/contrib/108357860914830264919/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GiAYBnf6C5tx66O9L0dOXOKWmE_9Hzwq98y4mq7sw=s128-c0x00000000-cc-rp-mo-ba3,2,5 months ago,"The sushi is really good. It looks good, tastes good, etc. Atmosphere is hip for downtown Missoula.

The service isn't. Wait staff very casual. Literally just having a chat with the tender while we wait for them to take our order (waited 15 minutes to place an order when it wasn't even busy).

Folks behind the sushi bar crushing beers left and right. I'm not against drinking, but this is highly unprofessional. The guys literally crouched down to consume their apparently ""hidden"" on-the-job drinking (you're working directly in front of me). Also handling some food with bare hands. Not a good scene even with many community members vaccinated.

The sushi rolls are very good. Very pricey, but I'd say in terms of taste, presentation, and amount, you get what you pay for (perhaps a bit pricey). In terms of service, absolutely not. If the service was even halfway decent, I'd give this at least 4 stars.",1623905617,Bad
50,50,0,0,Patrick Lucas,https://www.google.com/maps/contrib/104183458546969578039/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GjZHgDpBV2yF91ZkA-YIpMocxvEfz4Er7hRZOpTHQ=s128-c0x00000000-cc-rp-mo-ba3,5,3 months ago,"The menu was small but I went with the combo spicy and added veggies. I now understand why the menu was small. Because what they advertise is what they have perfected. Best chicken ever.  The best part is the chard sauced part of the chicken. Could of sworn i was eating chicken off a charcoal grill. So amazing. Serving is huge. I recommend the veggies added too.  Parking is a pain during lunch hours but its worth it on so many levels. My new weekly treat. Quality, taste, and value all 11/10s.",1628718298,Good
51,51,1,1,Kim B,https://www.google.com/maps/contrib/103442915267363710774/reviews,en,https://lh3.googleusercontent.com/a/AATXAJwojMNapN3zaRDbTD8giZPt1l62gXPTiJ5wFscv=s128-c0x00000000-cc-rp-mo,5,in the last week,Delicious and fast. anytime I can make it to the zoo during the week I stop here.  Wish they had it in my area. Big portions too,1638427563,Good
52,52,2,2,Richard Hall,https://www.google.com/maps/contrib/113068231642411455064/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gj8fhQgl9QGK5ZMYs2-TSHGYIfLLDOnJbFQzOmdA3g=s128-c0x00000000-cc-rp-mo-ba4,5,5 months ago,"Impressed! I have eaten a lot of teriyaki in my 60+ years but this is on another level. Let's start with the meat. The chicken was so moist it had to be marinated for hours. The beef had zero fat and gristle and was tender and flavorful. I'm used to a little cabbage slaw on the side but the $2 veggie add on was phenomenal. The pea pods tasted fresh and crispy, onions and peppers (not green bell thank goodness) were awesome. The quantities on the combo were enough for two meals. Fantastic.",1623971227,Good
53,53,3,3,Justin Farrington,https://www.google.com/maps/contrib/106494721284829806804/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gjgb9mJXTcs73c9QKlWvHhval-Dkogf72YGp52-nQ=s128-c0x00000000-cc-rp-mo-ba3,5,a week ago,"Dobi's can stand toe to toe with the best teriyaki in western Washington.  It is a real treat to have a place like this in Missoula.  Other places in Missoula claim to have teriyaki, but only Dobi's does it right.  Hot, fresh, done right, at an easy price.",1637781136,Good
